Banco Central de Chile - Indicadores diarios - Unidad de fomento (UF) (Pesos) - Año 2017;;
;;
Dia;Valor;
01-01-2017;26.348,83;
02-01-2017;26.349,68;
03-01-2017;26.350,53;
04-01-2017;26.351,38;
05-01-2017;26.352,23;
06-01-2017;26.353,08;
07-01-2017;26.353,93;
08-01-2017;26.354,78;
09-01-2017;26.355,63;
10-01-2017;26.353,93;
11-01-2017;26.352,23;
12-01-2017;26.350,52;
13-01-2017;26.348,82;
14-01-2017;26.347,12;
15-01-2017;26.345,42;
16-01-2017;26.343,72;
17-01-2017;26.342,02;
18-01-2017;26.340,32;
19-01-2017;26.338,61;
20-01-2017;26.336,91;
21-01-2017;26.335,21;
22-01-2017;26.333,51;
23-01-2017;26.331,81;
24-01-2017;26.330,11;
25-01-2017;26.328,41;
26-01-2017;26.326,71;
27-01-2017;26.325,01;
28-01-2017;26.323,31;
29-01-2017;26.321,61;
30-01-2017;26.319,91;
31-01-2017;26.318,21;
01-02-2017;26.316,51;
02-02-2017;26.314,81;
03-02-2017;26.313,11;
04-02-2017;26.311,41;
05-02-2017;26.309,71;
06-02-2017;26.308,02;
07-02-2017;26.306,32;
08-02-2017;26.304,62;
09-02-2017;26.302,92;
10-02-2017;26.307,61;
11-02-2017;26.312,29;
12-02-2017;26.316,98;
13-02-2017;26.321,67;
14-02-2017;26.326,36;
15-02-2017;26.331,05;
16-02-2017;26.335,74;
17-02-2017;26.340,43;
18-02-2017;26.345,12;
19-02-2017;26.349,81;
20-02-2017;26.354,51;
21-02-2017;26.359,20;
22-02-2017;26.363,90;
23-02-2017;26.368,60;
24-02-2017;26.373,29;
25-02-2017;26.377,99;
26-02-2017;26.382,69;
27-02-2017;26.387,39;
28-02-2017;26.392,09;
01-03-2017;26.396,79;
02-03-2017;26.401,49;
03-03-2017;26.406,20;
04-03-2017;26.410,90;
05-03-2017;26.415,61;
06-03-2017;26.420,31;
07-03-2017;26.425,02;
08-03-2017;26.429,73;
09-03-2017;26.434,43;
10-03-2017;26.436,13;
11-03-2017;26.437,84;
12-03-2017;26.439,54;
13-03-2017;26.441,25;
14-03-2017;26.442,95;
15-03-2017;26.444,65;
16-03-2017;26.446,36;
17-03-2017;26.448,06;
18-03-2017;26.449,77;
19-03-2017;26.451,47;
20-03-2017;26.453,18;
21-03-2017;26.454,88;
22-03-2017;26.456,59;
23-03-2017;26.458,29;
24-03-2017;26.460,00;
25-03-2017;26.461,70;
26-03-2017;26.463,41;
27-03-2017;26.465,12;
28-03-2017;26.466,82;
29-03-2017;26.468,53;
30-03-2017;26.470,23;
31-03-2017;26.471,94;
01-04-2017;26.473,65;
02-04-2017;26.475,35;
03-04-2017;26.477,06;
04-04-2017;26.478,76;
05-04-2017;26.480,47;
06-04-2017;26.482,18;
07-04-2017;26.483,88;
08-04-2017;26.485,59;
09-04-2017;26.487,30;
10-04-2017;26.490,82;
11-04-2017;26.494,35;
12-04-2017;26.497,88;
13-04-2017;26.501,40;
14-04-2017;26.504,93;
15-04-2017;26.508,46;
16-04-2017;26.511,98;
17-04-2017;26.515,51;
18-04-2017;26.519,04;
19-04-2017;26.522,57;
20-04-2017;26.526,10;
21-04-2017;26.529,63;
22-04-2017;26.533,16;
23-04-2017;26.536,69;
24-04-2017;26.540,22;
25-04-2017;26.543,75;
26-04-2017;26.547,29;
27-04-2017;26.550,82;
28-04-2017;26.554,35;
29-04-2017;26.557,89;
30-04-2017;26.561,42;
01-05-2017;26.564,95;
02-05-2017;26.568,49;
03-05-2017;26.572,03;
04-05-2017;26.575,56;
05-05-2017;26.579,10;
06-05-2017;26.582,64;
07-05-2017;26.586,17;
08-05-2017;26.589,71;
09-05-2017;26.593,25;
10-05-2017;26.594,96;
11-05-2017;26.596,68;
12-05-2017;26.598,39;
13-05-2017;26.600,11;
14-05-2017;26.601,82;
15-05-2017;26.603,54;
16-05-2017;26.605,25;
17-05-2017;26.606,97;
18-05-2017;26.608,68;
19-05-2017;26.610,40;
20-05-2017;26.612,11;
21-05-2017;26.613,83;
22-05-2017;26.615,54;
23-05-2017;26.617,26;
24-05-2017;26.618,97;
25-05-2017;26.620,69;
26-05-2017;26.622,40;
27-05-2017;26.624,12;
28-05-2017;26.625,84;
29-05-2017;26.627,55;
30-05-2017;26.629,27;
31-05-2017;26.630,98;
01-06-2017;26.632,70;
02-06-2017;26.634,42;
03-06-2017;26.636,13;
04-06-2017;26.637,85;
05-06-2017;26.639,57;
06-06-2017;26.641,28;
07-06-2017;26.643,00;
08-06-2017;26.644,72;
09-06-2017;26.646,44;
10-06-2017;26.647,33;
11-06-2017;26.648,22;
12-06-2017;26.649,10;
13-06-2017;26.649,99;
14-06-2017;26.650,88;
15-06-2017;26.651,77;
16-06-2017;26.652,66;
17-06-2017;26.653,54;
18-06-2017;26.654,43;
19-06-2017;26.655,32;
20-06-2017;26.656,21;
21-06-2017;26.657,10;
22-06-2017;26.657,98;
23-06-2017;26.658,87;
24-06-2017;26.659,76;
25-06-2017;26.660,65;
26-06-2017;26.661,54;
27-06-2017;26.662,42;
28-06-2017;26.663,31;
29-06-2017;26.664,20;
30-06-2017;26.665,09;
01-07-2017;26.665,98;
02-07-2017;26.666,87;
03-07-2017;26.667,76;
04-07-2017;26.668,64;
05-07-2017;26.669,53;
06-07-2017;26.670,42;
07-07-2017;26.671,31;
08-07-2017;26.672,20;
09-07-2017;26.673,09;
10-07-2017;26.669,64;
11-07-2017;26.666,19;
12-07-2017;26.662,75;
13-07-2017;26.659,30;
14-07-2017;26.655,85;
15-07-2017;26.652,41;
16-07-2017;26.648,96;
17-07-2017;26.645,52;
18-07-2017;26.642,07;
19-07-2017;26.638,63;
20-07-2017;26.635,18;
21-07-2017;26.631,74;
22-07-2017;26.628,30;
23-07-2017;26.624,85;
24-07-2017;26.621,41;
25-07-2017;26.617,97;
26-07-2017;26.614,53;
27-07-2017;26.611,09;
28-07-2017;26.607,65;
29-07-2017;26.604,21;
30-07-2017;26.600,77;
31-07-2017;26.597,33;
01-08-2017;26.593,89;
02-08-2017;26.590,45;
03-08-2017;26.587,01;
04-08-2017;26.583,58;
05-08-2017;26.580,14;
06-08-2017;26.576,70;
07-08-2017;26.573,27;
08-08-2017;26.569,83;
09-08-2017;26.566,40;
10-08-2017;26.568,11;
11-08-2017;26.569,82;
12-08-2017;26.571,54;
13-08-2017;26.573,25;
14-08-2017;26.574,96;
15-08-2017;26.576,68;
16-08-2017;26.578,39;
17-08-2017;26.580,10;
18-08-2017;26.581,81;
19-08-2017;26.583,53;
20-08-2017;26.585,24;
21-08-2017;26.586,95;
22-08-2017;26.588,67;
23-08-2017;26.590,38;
24-08-2017;26.592,10;
25-08-2017;26.593,81;
26-08-2017;26.595,52;
27-08-2017;26.597,24;
28-08-2017;26.598,95;
29-08-2017;26.600,67;
30-08-2017;26.602,38;
31-08-2017;26.604,10;
01-09-2017;26.605,81;
02-09-2017;26.607,53;
03-09-2017;26.609,24;
04-09-2017;26.610,96;
05-09-2017;26.612,67;
06-09-2017;26.614,39;
07-09-2017;26.616,10;
08-09-2017;26.617,82;
09-09-2017;26.619,53;
10-09-2017;26.621,30;
11-09-2017;26.623,08;
12-09-2017;26.624,85;
13-09-2017;26.626,62;
14-09-2017;26.628,40;
15-09-2017;26.630,17;
16-09-2017;26.631,94;
17-09-2017;26.633,72;
18-09-2017;26.635,49;
19-09-2017;26.637,26;
20-09-2017;26.639,04;
21-09-2017;26.640,81;
22-09-2017;26.642,59;
23-09-2017;26.644,36;
24-09-2017;26.646,14;
25-09-2017;26.647,91;
26-09-2017;26.649,69;
27-09-2017;26.651,46;
28-09-2017;26.653,24;
29-09-2017;26.655,01;
30-09-2017;26.656,79;
01-10-2017;26.658,56;
02-10-2017;26.660,34;
03-10-2017;26.662,11;
04-10-2017;26.663,89;
05-10-2017;26.665,66;
06-10-2017;26.667,44;
07-10-2017;26.669,22;
08-10-2017;26.670,99;
09-10-2017;26.672,77;
10-10-2017;26.671,05;
11-10-2017;26.669,33;
12-10-2017;26.667,60;
13-10-2017;26.665,88;
14-10-2017;26.664,16;
15-10-2017;26.662,44;
16-10-2017;26.660,71;
17-10-2017;26.658,99;
18-10-2017;26.657,27;
19-10-2017;26.655,55;
20-10-2017;26.653,83;
21-10-2017;26.652,11;
22-10-2017;26.650,39;
23-10-2017;26.648,67;
24-10-2017;26.646,94;
25-10-2017;26.645,22;
26-10-2017;26.643,50;
27-10-2017;26.641,78;
28-10-2017;26.640,06;
29-10-2017;26.638,34;
30-10-2017;26.636,62;
31-10-2017;26.634,90;
01-11-2017;26.633,18;
02-11-2017;26.631,46;
03-11-2017;26.629,74;
04-11-2017;26.628,02;
05-11-2017;26.626,30;
06-11-2017;26.624,58;
07-11-2017;26.622,86;
08-11-2017;26.621,14;
09-11-2017;26.619,42;
10-11-2017;26.624,73;
11-11-2017;26.630,04;
12-11-2017;26.635,35;
13-11-2017;26.640,66;
14-11-2017;26.645,97;
15-11-2017;26.651,29;
16-11-2017;26.656,60;
17-11-2017;26.661,92;
18-11-2017;26.667,23;
19-11-2017;26.672,55;
20-11-2017;26.677,87;
21-11-2017;26.683,19;
22-11-2017;26.688,51;
23-11-2017;26.693,84;
24-11-2017;26.699,16;
25-11-2017;26.704,48;
26-11-2017;26.709,81;
27-11-2017;26.715,14;
28-11-2017;26.720,46;
29-11-2017;26.725,79;
30-11-2017;26.731,12;
01-12-2017;26.736,45;
02-12-2017;26.741,78;
03-12-2017;26.747,12;
04-12-2017;26.752,45;
05-12-2017;26.757,79;
06-12-2017;26.763,12;
07-12-2017;26.768,46;
08-12-2017;26.773,80;
09-12-2017;26.779,14;
10-12-2017;26.780,00;
11-12-2017;26.780,87;
12-12-2017;26.781,73;
13-12-2017;26.782,59;
14-12-2017;26.783,46;
15-12-2017;26.784,32;
16-12-2017;26.785,18;
17-12-2017;26.786,05;
18-12-2017;26.786,91;
19-12-2017;26.787,78;
20-12-2017;26.788,64;
21-12-2017;26.789,50;
22-12-2017;26.790,37;
23-12-2017;26.791,23;
24-12-2017;26.792,09;
25-12-2017;26.792,96;
26-12-2017;26.793,82;
27-12-2017;26.794,69;
28-12-2017;26.795,55;
29-12-2017;26.796,41;
30-12-2017;26.797,28;
31-12-2017;26.798,14;
;;
